Date (MM/DD/YYYY)	Time (HH:mm:ss)	Time (Fract. Sec)	Site Name	Chlorophyll RFU	Chlorophyll ug/L	Cond µS/cm	Depth m	fDOM QSU	fDOM RFU	nLF Cond µS/cm	ODO % sat	ODO % CB	ODO mg/L	Pressure psi a	Sal psu	SpCond µS/cm	TAL PE RFU	TAL PE ug/L	TDS mg/L	Turbidity FNU	TSS mg/L	pH	pH mV	Temp °C	Vertical Position m	GPS Latitude °	GPS Longitude °	Altitude m	Battery V	Cable Pwr V	Barometer mmHg
10/7/22	11:57:07	0	<None>	0.13	0.57	60	-1.111	1.28	0.43	42.6	104.7	104.7	6.39	-1.566	0.02	44.6	2.03	5.58	29	3.12	0	7.39	-48	43.144	-1.101	25.91246	-80.13762	9.4	5.82	12.1	1453.8
10/7/22	11:57:22	0	<None>	0.15	0.65	45.1	-1.105	1.21	0.41	32.1	104.7	104.7	6.4	-1.558	0.01	33.5	2.01	5.5	22	3.47	0	7.25	-39.1	43.054	-1.09	25.91243	-80.1376	6	5.82	12.1	1453.5
10/7/22	11:57:37	0	<None>	0.12	0.55	38.8	-1.093	1.24	0.42	27.7	104.8	104.8	6.42	-1.541	0.01	28.9	2.02	5.54	19	3.43	0	7.18	-34.9	42.913	-1.06	25.91241	-80.13757	7.6	5.82	12.1	1453.5
10/7/22	11:57:52	0	<None>	0.13	0.58	35.3	-1.066	1.23	0.42	25.3	105.1	105.1	6.46	-1.503	0.01	26.4	2.03	5.57	17	3.45	0	7.03	-25.1	42.743	-1.013	25.91241	-80.13754	4.4	5.82	12.1	1453.5
10/7/22	11:58:07	0	<None>	0.1	0.44	32.3	-1.027	1.11	0.38	23.2	105.4	105.4	6.49	-1.448	0.01	24.2	1.83	5.02	16	3.48	0	6.98	-21.8	42.569	-0.977	25.9124	-80.13751	2.3	5.82	12.1	1453.5
10/7/22	11:58:22	0	<None>	0.1	0.44	30.9	-0.984	1.14	0.39	22.3	105.6	105.6	6.53	-1.387	0.01	23.2	1.69	4.65	15	3.53	0	6.9	-16.7	42.375	-0.925	25.9124	-80.13751	0.5	5.82	12.1	1453.4
