Date (MM/DD/YYYY)	Time (HH:mm:ss)	Time (Fract. Sec)	Site Name	Chlorophyll RFU	Chlorophyll ug/L	Cond µS/cm	Depth m	fDOM QSU	fDOM RFU	nLF Cond µS/cm	ODO % sat	ODO % CB	ODO mg/L	Pressure psi a	Sal psu	SpCond µS/cm	TAL PE RFU	TAL PE ug/L	TDS mg/L	Turbidity FNU	TSS mg/L	pH	pH mV	Temp °C	Vertical Position m	GPS Latitude °	GPS Longitude °	Altitude m	Battery V	Cable Pwr V	Barometer mmHg
10/7/22	13:06:02	0	<None>	4.49	18.59	56083.7	5.375	6.12	2.05	52795.6	95	95	6.13	7.815	34.96	53115.9	42.63	116.67	34525	490.42	0	7.93	-79.3	27.925	5.357	25.90952	-80.13628	2.6	5.83	12.1	1443.9
10/7/22	13:06:17	0	<None>	3.27	13.56	55920.9	5.361	0.65	0.22	52622.3	50.5	50.5	3.26	7.795	34.83	52943.7	27.06	74.06	34413	304.33	0	7.64	-62	27.944	5.311	25.90949	-80.13631	1.8	5.83	12.1	1443.9
10/7/22	13:06:32	0	<None>	6.43	26.62	54126.6	5.352	-0.46	-0.15	50863.5	19.3	19.3	1.25	7.774	33.53	51181.8	31.05	84.98	33268	295.22	0	7.47	-51.7	28.012	5.349	25.90947	-80.13634	2.1	5.83	12.1	1443.9
10/7/22	13:06:47	0	<None>	3.53	14.61	52405	5.352	-0.39	-0.12	49245.8	12.1	12.1	0.79	7.767	32.33	49554	25.48	69.76	32210	291.24	0	7.46	-50.9	28.012	5.372	25.90945	-80.13635	2.6	5.83	12.1	1443.9
10/7/22	13:07:02	0	<None>	8.86	36.67	51909.1	5.363	-0.42	-0.13	48780.2	9.7	9.7	0.64	7.781	31.99	49085.5	23.83	65.23	31906	292.68	0	7.44	-50.2	28.012	5.355	25.90943	-80.13634	2.5	5.83	12.1	1443.9
10/7/22	13:07:17	0	<None>	2.73	11.3	55881.6	5.319	-0.64	-0.21	52590.8	41.3	41.3	2.67	7.734	34.81	52911.5	24.3	66.5	34392	773.84	0	7.69	-65.2	27.939	5.341	25.90939	-80.13637	2.6	5.83	12.1	1443.9
10/7/22	13:07:32	0	<None>	2.94	12.21	55691.1	5.322	-0.44	-0.14	52343.6	14.3	14.3	0.92	7.737	34.63	52670.1	22.45	61.45	34236	273.79	0	7.63	-61.3	28.003	5.366	25.90939	-80.13639	2.5	5.83	12.1	1443.9
10/7/22	13:07:47	0	<None>	7.57	31.31	55119.9	5.342	-0.32	-0.1	51814.4	37.6	37.6	2.43	7.763	34.23	52136.7	53.35	146.01	33889	1942.9	0	7.78	-70.5	27.996	5.27	25.90939	-80.13641	3.3	5.83	12.1	1443.8
10/7/22	13:08:02	0	<None>	0.55	2.29	55973.2	4.289	5.31	1.78	52741.6	88.3	88.3	5.71	6.237	34.92	53056.3	0.66	1.81	34487	792.52	0	7.93	-79.8	27.878	4.319	25.90938	-80.13642	2.9	5.83	12.1	1443.8
10/7/22	13:08:17	0	<None>	1.03	4.3	55484.1	3.076	6.62	2.21	52546.3	96.1	96.1	6.23	4.473	34.76	52831.4	2.48	6.8	34340	171.03	0	7.95	-80.9	27.629	3.111	25.90937	-80.13644	2.9	5.83	12.1	1443.8
