Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/7/22,12:38:57,0,<None>,8.82,36.48,55902,5.049,13.16,4.39,52620.2,97.9,97.9,6.32,7.341,34.83,52939.9,44.35,121.39,34411,1390.31,0,7.92,-78.8,27.929,4.841,25.90779,-80.13669,-2,5.83,12.1,1446.7
10/7/22,12:39:12,0,<None>,12.43,51.43,56129.8,5.011,8.37,2.8,52835.1,99.6,99.6,6.42,7.287,34.99,53156.1,107.12,293.19,34551,323.88,0,7.94,-80.5,27.929,5.163,25.90778,-80.1367,-2.1,5.83,12.1,1446.9
10/7/22,12:39:27,0,<None>,10.39,42.97,56031.8,5.061,0.48,0.17,52736.9,100.8,100.8,6.5,7.358,34.91,53058,65.46,179.17,34488,342.49,0,7.93,-79.5,27.935,5.04,25.90778,-80.13674,-1.7,5.83,12.1,1446.9
10/7/22,12:39:42,0,<None>,4,16.58,56017.9,5.059,3.9,1.31,52716.8,99.7,99.7,6.43,7.356,34.9,53038.5,12.72,34.83,34475,1002.02,0,7.94,-80,27.941,4.912,25.90776,-80.13674,-2.3,5.83,12.1,1446.9
10/7/22,12:39:57,0,<None>,0.92,3.83,56176,4.923,9.23,3.08,52872,99.5,99.5,6.41,7.16,35.02,53193.9,8.01,21.93,34576,498.23,0,7.94,-80.3,27.935,4.623,25.90774,-80.13675,-2.6,5.83,12.1,1446.9
10/7/22,12:40:12,0,<None>,1.69,7.03,55811.9,3.917,9.02,3.02,52711,99.1,99.1,6.41,5.696,34.89,53012.5,8.85,24.23,34458,543.74,0,7.95,-80.7,27.765,3.989,25.90771,-80.13677,-1.6,5.83,12.1,1446.9
10/7/22,12:40:27,0,<None>,0.69,2.88,55757.7,3.956,7.83,2.62,52706.6,98.9,98.9,6.41,5.753,34.88,53003.1,2.53,6.94,34452,122.12,0,7.95,-80.9,27.72,3.827,25.90769,-80.13679,-1.2,5.83,12.1,1446.9
10/7/22,12:40:42,0,<None>,1.36,5.65,55183,2.995,8.15,2.72,52422.3,100.1,100.1,6.52,4.355,34.66,52689.7,4.27,11.71,34248,128.68,0,7.96,-81.3,27.477,2.928,25.90768,-80.13682,-1.5,5.83,12.1,1447
10/7/22,12:40:57,0,<None>,0.58,2.44,55121.8,1.913,8,2.67,52272.1,101.6,101.6,6.61,2.781,34.55,52548.4,1.73,4.75,34156,277.95,0,7.96,-81.5,27.565,1.936,25.90766,-80.13685,-1.5,5.83,12.1,1446.9
10/7/22,12:41:12,0,<None>,0.39,1.67,53478.3,1.036,9.98,3.33,50503,97,97,6.33,1.504,33.25,50792.3,1.29,3.54,33015,8.02,0,7.89,-77,27.771,1.017,25.90763,-80.13687,-0.1,5.83,12.1,1446.7
