Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/7/22,12:30:42,0,<None>,0.2,0.85,287.5,-0.356,-0.78,-0.25,276.4,108.3,108.3,8.64,-0.505,0.13,277.5,2.03,5.57,180,8.66,0,7.51,-54,26.889,-0.355,25.90829,-80.13619,-0.6,5.83,12.1,1447.6
10/7/22,12:30:57,0,<None>,0.35,1.47,52386,0.452,16.05,5.36,49348.8,93.3,93.3,6.11,0.656,32.4,49644.6,0.74,2.03,32269,2.06,0,7.82,-73,27.891,0.464,25.90825,-80.13624,-0.9,5.83,12.1,1447.6
10/7/22,12:31:12,0,<None>,0.31,1.33,53647.2,0.69,13.06,4.36,50582,96.7,96.7,6.31,1.002,33.31,50880.4,0.68,1.87,33072,-0.11,0,7.85,-75,27.846,1.006,25.90822,-80.13626,-1.6,5.82,12.1,1447.5
10/7/22,12:31:27,0,<None>,0.26,1.12,54228.1,0.841,8.95,2.99,51167.9,97.3,97.3,6.33,1.222,33.74,51465.6,0.59,1.64,33453,-0.08,0,7.91,-78.4,27.81,1.193,25.90819,-80.13629,-1.7,5.83,12.1,1447.5
10/7/22,12:31:42,0,<None>,0.22,0.94,55623.7,1.843,6.19,2.07,52388.8,101.3,101.3,6.55,2.679,34.65,52703.9,0.4,1.11,34258,0.18,0,7.94,-80,27.901,1.784,25.90818,-80.13631,-1.3,5.83,12.1,1447.5
10/7/22,12:31:57,0,<None>,0.21,0.9,55658.1,1.996,5.33,1.78,52494.6,102.6,102.6,6.64,2.903,34.73,52802.4,0.39,1.07,34322,0.2,0,7.95,-81,27.832,2.175,25.90816,-80.13633,-0.6,5.83,12.1,1447.5
10/7/22,12:32:12,0,<None>,0.22,0.96,55132,2.831,5.44,1.82,52417.6,102.4,102.4,6.67,4.117,34.65,52680.4,0.37,1.03,34242,-0.07,0,7.96,-81.3,27.435,2.857,25.90814,-80.13635,-0.5,5.83,12.1,1447.5
10/7/22,12:32:27,0,<None>,0.25,1.09,55080.5,2.843,5.38,1.8,52401,102.9,102.9,6.71,4.134,34.64,52660.3,0.38,1.06,34229,-0.15,0,7.96,-81.4,27.406,2.907,25.90812,-80.13638,-0.8,5.83,12.1,1447.5
10/7/22,12:32:42,0,<None>,0.23,0.98,55196.4,3.521,5.16,1.73,52462.4,101.6,101.6,6.62,5.12,34.68,52727.2,0.45,1.24,34273,-0.11,0,7.96,-81.2,27.453,3.516,25.9081,-80.1364,-0.4,5.83,12.1,1447.5
10/7/22,12:32:57,0,<None>,0.24,1.03,55208.2,3.528,5.08,1.7,52465.7,100.7,100.7,6.56,5.129,34.69,52731.3,0.44,1.2,34275,-0.16,0,7.96,-81.1,27.459,3.625,25.90808,-80.13642,0,5.83,12.1,1447.5
10/7/22,12:33:12,0,<None>,0.29,1.25,55745.7,3.747,4.66,1.56,52689.4,100.3,100.3,6.49,5.449,34.87,52986.4,0.65,1.78,34441,1.23,0,7.95,-80.8,27.726,4.196,25.90805,-80.13645,-0.2,5.83,12.1,1447.4
10/7/22,12:33:27,0,<None>,0.44,1.87,56121.6,4.91,4.44,1.49,52891.6,98.2,98.2,6.34,7.141,35.03,53206.1,0.99,2.71,34584,4.33,0,7.94,-80.2,27.869,4.95,25.90803,-80.13647,0.4,5.83,12.1,1447.4
10/7/22,12:33:42,0,<None>,2.46,10.21,56134.3,5.11,6.97,2.33,52889.7,97.1,97.1,6.27,7.431,35.03,53205.6,13.5,36.96,34584,1426.19,0,7.94,-79.9,27.882,5.276,25.90799,-80.1365,-2.2,5.83,12.1,1447.3
10/7/22,12:33:57,0,<None>,8.77,36.28,56067.1,5.243,5.31,1.78,52812.7,118,118,7.62,7.624,34.97,53129.7,86.86,237.74,34534,282.53,0,7.62,-60.8,27.895,5.437,25.90796,-80.13651,-0.5,5.83,12.1,1447.2
10/7/22,12:34:12,0,<None>,8.22,34,55917.8,5.416,-0.55,-0.18,52649.4,151.2,151.2,9.76,7.875,34.85,52967.8,123.42,337.79,34429,240.9,0,7.59,-58.8,27.916,5.463,25.90793,-80.13652,-0.7,5.83,12.1,1447.2
10/7/22,12:34:27,0,<None>,9.54,39.45,53091.7,5.484,-0.49,-0.16,49923.6,160,160,10.44,7.962,32.83,50232.5,82.59,226.05,32651,255.76,0,7.55,-56.9,27.98,5.541,25.9079,-80.13654,-1.2,5.83,12.1,1447.2
10/7/22,12:34:42,0,<None>,8.22,34.01,52558.9,5.499,-0.4,-0.13,49398.4,157.1,157.1,10.26,7.982,32.44,49706.7,102,279.15,32309,276.03,0,7.51,-54.4,28.004,5.53,25.90788,-80.13655,-1.4,5.83,12.1,1447
10/7/22,12:34:57,0,<None>,8.03,33.22,52301.8,5.515,-0.36,-0.11,49151.2,151.3,151.3,9.9,8.004,32.26,49458.6,93.91,257.03,32148,279.6,0,7.49,-52.8,28.01,5.541,25.90786,-80.13657,-2.5,5.83,12.1,1447.1
10/7/22,12:35:12,0,<None>,8.33,34.46,52193.7,5.526,-0.39,-0.12,49052.8,143.4,143.4,9.38,8.019,32.19,49359.2,89.31,244.44,32083,277.47,0,7.5,-53.5,28.007,5.539,25.9079,-80.1366,-3.7,5.82,12.1,1447
10/7/22,12:35:27,0,<None>,8.34,34.5,55446.6,5.504,-0.18,-0.05,52186,55.6,55.6,3.6,8.001,34.5,52503.7,75.3,206.08,34127,269.88,0,7.51,-54.5,27.935,5.463,25.90791,-80.13663,-4.5,5.83,12.1,1447.2
10/7/22,12:35:42,0,<None>,5.95,24.62,55626.9,5.466,0.23,0.08,52383,93.4,93.4,6.04,7.947,34.65,52699,42.86,117.3,34254,257.09,0,7.54,-56.3,27.909,5.441,25.90793,-80.13663,-3.2,5.83,12.1,1447.2
10/7/22,12:35:57,0,<None>,2.75,11.41,55303,5.41,21.54,7.19,52073.6,97.3,97.3,6.3,7.863,34.42,52388.2,27.01,73.93,34052,296.74,0,7.52,-54.9,27.913,5.357,25.90792,-80.13663,-2,5.83,12.1,1447
10/7/22,12:36:12,0,<None>,2.88,11.95,55405.1,5.374,-0.37,-0.11,52168.1,98.2,98.2,6.35,7.812,34.49,52483.5,31.21,85.43,34114,277.67,0,7.59,-58.9,27.915,5.36,25.90791,-80.13665,-0.7,5.83,12.1,1447.1
10/7/22,12:36:27,0,<None>,3.09,12.82,55449.6,5.354,-0.39,-0.12,52207.5,99.4,99.4,6.43,7.783,34.52,52523.3,29.37,80.39,34140,269.78,0,7.39,-46.8,27.917,5.339,25.9079,-80.13665,-1.2,5.83,12.1,1447
10/7/22,12:36:42,0,<None>,2.74,11.36,55455.1,5.34,-0.38,-0.12,52214.6,99.4,99.4,6.43,7.763,34.52,52530.3,28.86,79,34145,259.5,0,7.42,-48.5,27.915,5.309,25.9079,-80.13665,-1.3,5.83,12.1,1447
10/7/22,12:36:57,0,<None>,2.6,10.79,55410.1,5.327,-0.34,-0.11,52169.3,99.1,99.1,6.41,7.743,34.49,52485.1,30.33,83.01,34115,252.18,0,7.51,-54.3,27.918,5.316,25.90788,-80.13664,-1.4,5.83,12.1,1446.8
10/7/22,12:37:12,0,<None>,2.57,10.65,55416.1,5.313,-0.3,-0.09,52174.6,98.9,98.9,6.4,7.722,34.49,52490.4,30.75,84.15,34119,247.7,0,7.48,-52.5,27.918,5.31,25.90788,-80.13664,-0.9,5.83,12.1,1446.9
10/7/22,12:37:27,0,<None>,2.55,10.57,55435.7,5.31,-0.31,-0.09,52194.5,98.9,98.9,6.4,7.719,34.51,52510.2,30.73,84.11,34132,246.22,0,7.45,-50.6,27.917,5.303,25.90788,-80.13663,-1,5.83,12.1,1446.9
10/7/22,12:37:42,0,<None>,2.57,10.66,55449.6,5.309,-0.3,-0.09,52206.3,98.9,98.9,6.4,7.717,34.52,52522.3,30.57,83.68,34139,244.6,0,7.43,-49.3,27.918,5.311,25.90788,-80.13663,-0.9,5.83,12.1,1446.8
10/7/22,12:37:57,0,<None>,2.58,10.7,55450.4,5.308,-0.31,-0.09,52198.1,98.9,98.9,6.4,7.716,34.51,52515,30.64,83.86,34135,244.31,0,7.4,-47.8,27.926,5.308,25.90787,-80.13664,-0.7,5.83,12.1,1446.8
10/7/22,12:38:12,0,<None>,2.53,10.5,55429,5.288,-0.3,-0.09,52174.6,98.8,98.8,6.39,7.686,34.5,52491.7,31.14,85.23,34120,243.58,0,7.45,-50.8,27.93,5.223,25.90785,-80.13665,-0.8,5.83,12.1,1446.7
10/7/22,12:38:27,0,<None>,2.52,10.46,55402.7,5.237,-0.32,-0.1,52150.2,99.5,99.5,6.43,7.613,34.48,52467.1,30.82,84.36,34104,242.66,0,7.51,-54.1,27.929,5.135,25.90783,-80.13667,-1.3,5.83,12.1,1446.8
10/7/22,12:38:42,0,<None>,15.66,64.76,54874.6,5.155,0.96,0.33,51650.6,99.8,99.8,6.45,7.493,34.11,51964.7,105.74,289.41,33777,1527.37,0,7.85,-74.8,27.932,4.855,25.90782,-80.13669,-1.8,5.83,12.1,1446.8
