Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/7/22,12:01:48,0,<None>,0.19,0.82,92.8,-1.002,-0.66,-0.21,74.7,105.3,105.3,7.19,-1.416,0.03,76.6,1.69,4.64,50,4.93,0,6.14,30,36.077,-0.993,25.91222,-80.13731,1.7,5.82,12.1,1452.4
10/7/22,12:02:03,0,<None>,0.35,1.5,55200.5,0.244,8.56,2.86,51731.8,84.3,84.3,5.44,0.355,34.18,52070.8,0.81,2.23,33846,0.8,0,7.74,-68.1,28.147,0.247,25.91221,-80.1373,1.8,5.82,12.1,1452.4
10/7/22,12:02:18,0,<None>,0.35,1.47,55739.6,1.147,6.5,2.17,52462.1,92.9,92.9,6,1.668,34.71,52781.4,0.55,1.52,34308,0.56,0,7.77,-69.7,27.931,1.154,25.9122,-80.1373,2,5.82,12.1,1452.3
10/7/22,12:02:33,0,<None>,0.34,1.45,55611.6,1.425,5.79,1.94,52465,95.8,95.8,6.2,2.072,34.71,52771.2,0.62,1.72,34301,0.74,0,7.79,-71.2,27.817,1.699,25.9122,-80.13729,2.5,5.82,12.1,1452.3
10/7/22,12:02:48,0,<None>,0.43,1.82,55669,2.422,5.89,1.97,52496.6,96.2,96.2,6.22,3.521,34.73,52805.3,0.76,2.09,34323,2.86,0,7.79,-71.4,27.84,2.437,25.91219,-80.13729,2.3,5.82,12.1,1452.3
10/7/22,12:03:03,0,<None>,1.16,4.84,55844.3,2.732,6.2,2.08,52585.9,94.2,94.2,6.08,3.972,34.8,52903.4,2.43,6.66,34387,78.31,0,7.79,-71.3,27.911,2.971,25.91218,-80.13728,2.1,5.82,12.1,1452.2
10/7/22,12:03:18,0,<None>,1.1,4.59,55851.4,2.886,7.29,2.44,52581.7,93.2,93.2,6.02,4.197,34.8,52900.3,4.03,11.05,34385,148.66,0,7.51,-54.1,27.921,3.163,25.91217,-80.13728,2.7,5.82,12.1,1452
10/7/22,12:03:33,0,<None>,1.4,5.84,55872.6,3.12,7.24,2.42,52594.7,51.8,51.8,3.34,4.536,34.81,52914.1,4.8,13.14,34394,247.89,0,7.49,-53.2,27.927,3.22,25.91216,-80.13727,3.6,5.82,12.1,1451.9
10/7/22,12:03:48,0,<None>,0.92,3.86,55885.6,3.206,6.59,2.2,52570.4,26.7,26.7,1.72,4.662,34.79,52893.6,3.6,9.86,34381,433.71,0,7.48,-52.1,27.962,3.246,25.91216,-80.13726,2.6,5.82,12.1,1452
10/7/22,12:04:03,0,<None>,4.21,17.43,47890.6,3.237,13.98,4.67,44962.8,14.6,14.6,0.97,4.686,29.2,45248.6,18.59,50.9,29412,256.37,0,7.35,-44.2,28.058,3.25,25.91216,-80.13727,2.8,5.82,12.1,1451.8
10/7/22,12:04:18,0,<None>,2.86,11.86,55346.7,3.166,9.16,3.06,52091.9,74.7,74.7,4.83,4.602,34.43,52409.1,3.56,9.75,34066,945.58,0,7.77,-70.2,27.933,2.871,25.91216,-80.13727,3.7,5.82,12.1,1451.7
10/7/22,12:04:33,0,<None>,1.62,6.75,55549.2,2.182,7.72,2.58,52427.4,88.7,88.7,5.74,3.172,34.68,52731.1,12.01,32.88,34275,729.32,0,7.8,-71.9,27.795,2.188,25.91216,-80.13726,2.9,5.82,12.1,1451.7
10/7/22,12:04:48,0,<None>,1.43,5.95,55498.4,1.276,6.94,2.32,52363.1,92.9,92.9,6.02,1.854,34.63,52668.2,5.91,16.2,34234,450.14,0,7.83,-73.2,27.813,1.281,25.91215,-80.13725,3.2,5.82,12.1,1451.7
10/7/22,12:05:03,0,<None>,0.76,3.2,55293.3,0.481,8.94,2.99,51940.6,85.5,85.5,5.53,0.699,34.33,52267.8,1.74,4.77,33974,71.26,0,7.8,-71.5,28.031,0.489,25.91213,-80.13723,3.6,5.82,12.1,1451.5
