Date (MM/DD/YYYY),Time (HH:mm:ss),Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,GPS Latitude °,GPS Longitude °,Altitude m,Battery V,Cable Pwr V,Barometer mmHg
10/7/22,13:10:37,0,<None>,0.39,1.67,50291.2,0.17,18.69,6.24,47335.4,94.6,94.6,6.24,0.246,30.93,47623.5,0.74,2.02,30955,0.02,0,7.86,-75.1,27.933,-0.138,25.90926,-80.13665,3.1,5.83,12.1,1443.6
10/7/22,13:10:52,0,<None>,0.38,1.61,50292.8,0.065,19.81,6.61,47337.3,94.8,94.8,6.25,0.094,30.93,47625.3,0.79,2.17,30956,-0.26,0,7.84,-74.2,27.932,0.017,25.90924,-80.13667,2.5,5.83,12.1,1443.6
10/7/22,13:11:07,0,<None>,0.42,1.78,50184.8,-0.02,19.77,6.6,47237.2,95,95,6.27,-0.029,30.85,47524.5,0.76,2.09,30891,-0.3,0,7.84,-74.3,27.931,-0.022,25.90923,-80.13665,1.6,5.83,12.1,1443.6
10/7/22,13:11:22,0,<None>,0.4,1.69,50566.7,-0.017,19.04,6.35,47597.2,95.1,95.1,6.27,-0.025,31.12,47886.6,0.81,2.23,31126,-0.28,0,7.84,-74.4,27.93,-0.091,25.90927,-80.1366,1.4,5.83,12.1,1443.6
10/7/22,13:11:37,0,<None>,0.36,1.53,51278.2,-0.05,17.39,5.81,48267.3,94.4,94.4,6.21,-0.072,31.61,48560.7,0.74,2.04,31564,-0.25,0,7.85,-74.9,27.93,-0.073,25.90929,-80.13654,1.3,5.83,12.1,1443.6
10/7/22,13:11:52,0,<None>,0.45,1.9,50383.8,-0.077,19.55,6.53,47408.5,94.9,94.9,6.26,-0.111,30.98,47698.5,0.72,1.98,31004,-0.3,0,7.85,-74.5,27.948,-0.141,25.9093,-80.13645,0.7,5.83,12.1,1443.6
10/7/22,13:12:07,0,<None>,0.39,1.64,50300.4,-0.114,20.35,6.79,47317.1,94.9,94.9,6.26,-0.165,30.91,47607.9,0.7,1.92,30945,-0.29,0,7.84,-74,27.961,-0.164,25.90933,-80.13637,0.1,5.83,12.1,1443.6
10/7/22,13:12:22,0,<None>,0.42,1.79,50510,-0.142,19.91,6.64,47515.5,94.7,94.7,6.24,-0.206,31.06,47807.4,0.75,2.06,31075,-0.29,0,7.84,-74.1,27.96,-0.158,25.90938,-80.13631,-0.7,5.83,12.1,1443.6
10/7/22,13:12:37,0,<None>,0.4,1.71,50969.5,-0.114,18.81,6.28,47945.1,94.1,94.1,6.19,-0.165,31.37,48240,0.79,2.18,31356,-0.25,0,7.84,-74.4,27.962,-0.094,25.90941,-80.13629,-0.8,5.83,12.1,1443.5
10/7/22,13:12:52,0,<None>,0.34,1.44,50701.2,-0.076,18.71,6.24,47691,94.1,94.1,6.2,-0.11,31.19,47984.4,0.72,1.99,31190,-0.29,0,7.84,-74.4,27.964,-0.081,25.90947,-80.13631,-1,5.83,12.1,1443.6
