GPS Latitude °,GPS Longitude °,Date (MM/DD/YYYY),Time,Time (Fract. Sec),Site Name,Chlorophyll RFU,Chlorophyll ug/L,Cond µS/cm,Depth m,fDOM QSU,fDOM RFU,nLF Cond µS/cm,ODO % sat,ODO % CB,ODO mg/L,Pressure psi a,Sal psu,SpCond µS/cm,TAL PE RFU,TAL PE ug/L,TDS mg/L,Turbidity FNU,TSS mg/L,pH,pH mV,Temp °C,Vertical Position m,Altitude m,Battery V,Cable Pwr V,Barometer mmHg,geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,st10,st11
25.90926,-80.13665,10/7/22,13:10:37,0.0,<None>,0.39,1.67,50291.2,0.17,18.69,6.24,47335.4,94.6,94.6,6.24,0.246,30.93,47623.5,0.74,2.02,30955.0,0.02,0.0,7.86,-75.1,27.933,-0.138,3.1,5.83,12.1,1443.6,POINT (-80.13665 25.90926),0,1,ID00000125,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.90924,-80.13667,10/7/22,13:10:52,0.0,<None>,0.38,1.61,50292.8,0.065,19.81,6.61,47337.3,94.8,94.8,6.25,0.094,30.93,47625.3,0.79,2.17,30956.0,-0.26,0.0,7.84,-74.2,27.932,0.017,2.5,5.83,12.1,1443.6,POINT (-80.13667 25.90924),0,2,ID00000126,25.909218,-80.136803,513.500,96.500, , ,-80.13680267333984,25.909217834472656,301.1583557128906,303.55511474609375
25.90923,-80.13665,10/7/22,13:11:07,0.0,<None>,0.42,1.78,50184.8,-0.02,19.77,6.6,47237.2,95.0,95.0,6.27,-0.029,30.85,47524.5,0.76,2.09,30891.0,-0.3,0.0,7.84,-74.3,27.931,-0.022,1.6,5.83,12.1,1443.6,POINT (-80.13665 25.90923),0,3,ID00000127,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.90927,-80.1366,10/7/22,13:11:22,0.0,<None>,0.4,1.69,50566.7,-0.017,19.04,6.35,47597.2,95.1,95.1,6.27,-0.025,31.12,47886.6,0.81,2.23,31126.0,-0.28,0.0,7.84,-74.4,27.93,-0.091,1.4,5.83,12.1,1443.6,POINT (-80.1366 25.90927),0,4,ID00000128,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.90929,-80.13654,10/7/22,13:11:37,0.0,<None>,0.36,1.53,51278.2,-0.05,17.39,5.81,48267.3,94.4,94.4,6.21,-0.072,31.61,48560.7,0.74,2.04,31564.0,-0.25,0.0,7.85,-74.9,27.93,-0.073,1.3,5.83,12.1,1443.6,POINT (-80.13654 25.90929),0,5,ID00000129,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.9093,-80.13645,10/7/22,13:11:52,0.0,<None>,0.45,1.9,50383.8,-0.077,19.55,6.53,47408.5,94.9,94.9,6.26,-0.111,30.98,47698.5,0.72,1.98,31004.0,-0.3,0.0,7.85,-74.5,27.948,-0.141,0.7,5.83,12.1,1443.6,POINT (-80.13645 25.9093),0,6,ID00000130,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.90933,-80.13637,10/7/22,13:12:07,0.0,<None>,0.39,1.64,50300.4,-0.114,20.35,6.79,47317.1,94.9,94.9,6.26,-0.165,30.91,47607.9,0.7,1.92,30945.0,-0.29,0.0,7.84,-74.0,27.961,-0.164,0.1,5.83,12.1,1443.6,POINT (-80.13637 25.90933),0,7,ID00000131,25.909216,-80.136505,516.500,96.500, , ,-80.13650512695312,25.909215927124023,300.8810729980469,303.08953857421875
25.90938,-80.13631,10/7/22,13:12:22,0.0,<None>,0.42,1.79,50510.0,-0.142,19.91,6.64,47515.5,94.7,94.7,6.24,-0.206,31.06,47807.4,0.75,2.06,31075.0,-0.29,0.0,7.84,-74.1,27.96,-0.158,-0.7,5.83,12.1,1443.6,POINT (-80.13631 25.90938),0,8,ID00000132,25.909485,-80.136200,519.500,93.500, , ,-80.13619995117188,25.90948486328125,300.73516845703125,302.7889709472656
25.90941,-80.13629,10/7/22,13:12:37,0.0,<None>,0.4,1.71,50969.5,-0.114,18.81,6.28,47945.1,94.1,94.1,6.19,-0.165,31.37,48240.0,0.79,2.18,31356.0,-0.25,0.0,7.84,-74.4,27.962,-0.094,-0.8,5.83,12.1,1443.5,POINT (-80.13629 25.90941),0,9,ID00000133,25.909485,-80.136200,519.500,93.500, , ,-80.13619995117188,25.90948486328125,300.73516845703125,302.7889709472656
25.90947,-80.13631,10/7/22,13:12:52,0.0,<None>,0.34,1.44,50701.2,-0.076,18.71,6.24,47691.0,94.1,94.1,6.2,-0.11,31.19,47984.4,0.72,1.99,31190.0,-0.29,0.0,7.84,-74.4,27.964,-0.081,-1.0,5.83,12.1,1443.6,POINT (-80.13631 25.90947),0,10,ID00000134,25.909485,-80.136200,519.500,93.500, , ,-80.13619995117188,25.90948486328125,300.73516845703125,302.7889709472656
