lat,lon,Total Water Column (m),geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,rhot_443,rhos_443,rhot_492,rhos_492,rhot_560,rhos_560,rhot_665,rhos_665,rhot_704,rhos_704,rhot_740,rhos_740,rhot_783,rhos_783,rhot_833,rhos_833,rhot_865,rhos_865,rhot_945,rhot_1373,rhot_1614,rhos_1614,rhot_2202,rhos_2202,Land_mask,B2_Land_mask,B3_Land_mask,B4_Land_mask,B8_Land_mask,B3B2,B5_Land_mask,NDCI
25.91301462,-80.13785673,2.93,POINT (-80.13785673 25.91301462),0,1,ID00003893,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91302376,-80.13786178,2.96,POINT (-80.13786178 25.91302376),0,2,ID00003894,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91303256,-80.13786656,2.93,POINT (-80.13786656 25.91303256),0,3,ID00003895,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91304027,-80.13787076,2.97,POINT (-80.13787076 25.91304027),0,4,ID00003896,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91304782,-80.13787487,2.95,POINT (-80.13787487 25.91304782),0,5,ID00003897,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91305392,-80.13787808,2.94,POINT (-80.13787808 25.91305392),0,6,ID00003898,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91306039,-80.13788031,2.92,POINT (-80.13788031 25.91306039),0,7,ID00003899,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91306734,-80.13787981,2.93,POINT (-80.13787981 25.91306734),0,8,ID00003900,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91307318,-80.13787756,2.92,POINT (-80.13787756 25.91307318),0,9,ID00003901,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91307807,-80.137875,2.89,POINT (-80.137875 25.91307807),0,10,ID00003902,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91308236,-80.13787104,2.83,POINT (-80.13787104 25.91308236),0,11,ID00003903,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91308439,-80.13786584,2.76,POINT (-80.13786584 25.91308439),0,12,ID00003904,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.9130841,-80.13786049,2.7,POINT (-80.13786049 25.9130841),0,13,ID00003905,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91308202,-80.13785635,2.61,POINT (-80.13785635 25.91308202),0,14,ID00003906,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.9130795,-80.13785398,2.56,POINT (-80.13785398 25.9130795),0,15,ID00003907,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91307675,-80.13785214,2.55,POINT (-80.13785214 25.91307675),0,16,ID00003908,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91307412,-80.1378505,2.55,POINT (-80.1378505 25.91307412),0,17,ID00003909,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91307051,-80.13784855,2.53,POINT (-80.13784855 25.91307051),0,18,ID00003910,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91306511,-80.13784569,2.56,POINT (-80.13784569 25.91306511),0,19,ID00003911,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91305888,-80.13784232,2.6,POINT (-80.13784232 25.91305888),0,20,ID00003912,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91305151,-80.13783846,2.61,POINT (-80.13783846 25.91305151),0,21,ID00003913,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91304349,-80.13783414,2.64,POINT (-80.13783414 25.91304349),0,22,ID00003914,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.913034,-80.13782916,2.66,POINT (-80.13782916 25.913034),0,23,ID00003915,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91302492,-80.13782451,2.7,POINT (-80.13782451 25.91302492),0,24,ID00003916,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.91301764,-80.13782091,2.73,POINT (-80.13782091 25.91301764),0,25,ID00003917,25.913017,-80.137772,500.5,52.5, , ,-80.1377716064,25.9130172729,0.138500005,0.0340979919,0.1062999964,0.031422168,0.0868000016,0.0403904542,0.0483999997,0.0101014171,0.0531000011,0.0192767121,0.0665000007,0.0356951021,0.0917999968,0.0624502823,0.1268000007,0.1072058305,0.0812000036,0.0525056086,0.1053000018,0.0016,0.0471000001,0.0249649156,0.0214000009,0.0022097398,,,,,,,,
25.91300823,-80.1378164,2.74,POINT (-80.1378164 25.91300823),0,26,ID00003918,25.913017,-80.137772,500.5,52.5, , ,-80.1377716064,25.9130172729,0.138500005,0.0340979919,0.1062999964,0.031422168,0.0868000016,0.0403904542,0.0483999997,0.0101014171,0.0531000011,0.0192767121,0.0665000007,0.0356951021,0.0917999968,0.0624502823,0.1268000007,0.1072058305,0.0812000036,0.0525056086,0.1053000018,0.0016,0.0471000001,0.0249649156,0.0214000009,0.0022097398,,,,,,,,
25.91299893,-80.13781178,2.76,POINT (-80.13781178 25.91299893),0,27,ID00003919,25.913017,-80.137772,500.5,52.5, , ,-80.1377716064,25.9130172729,0.138500005,0.0340979919,0.1062999964,0.031422168,0.0868000016,0.0403904542,0.0483999997,0.0101014171,0.0531000011,0.0192767121,0.0665000007,0.0356951021,0.0917999968,0.0624502823,0.1268000007,0.1072058305,0.0812000036,0.0525056086,0.1053000018,0.0016,0.0471000001,0.0249649156,0.0214000009,0.0022097398,,,,,,,,
25.91298954,-80.13780702,2.76,POINT (-80.13780702 25.91298954),0,28,ID00003920,25.913017,-80.137772,500.5,52.5, , ,-80.1377716064,25.9130172729,0.138500005,0.0340979919,0.1062999964,0.031422168,0.0868000016,0.0403904542,0.0483999997,0.0101014171,0.0531000011,0.0192767121,0.0665000007,0.0356951021,0.0917999968,0.0624502823,0.1268000007,0.1072058305,0.0812000036,0.0525056086,0.1053000018,0.0016,0.0471000001,0.0249649156,0.0214000009,0.0022097398,,,,,,,,
