lat,lon,Chlorophyll ug/L,geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,rhot_443,rhos_443,rhot_492,rhos_492,rhot_560,rhos_560,rhot_665,rhos_665,rhot_704,rhos_704,rhot_740,rhos_740,rhot_783,rhos_783,rhot_833,rhos_833,rhot_865,rhos_865,rhot_945,rhot_1373,rhot_1614,rhos_1614,rhot_2202,rhos_2202,Land_mask,B2_Land_mask,B3_Land_mask,B4_Land_mask,B8_Land_mask,B3B2,B5_Land_mask,NDCI
25.913082,-80.137872,1.54,POINT (-80.137872 25.913082),0,11,ID00007796,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913084,-80.137867,1.43,POINT (-80.137867 25.913084),0,12,ID00007797,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913084,-80.137861,0.71,POINT (-80.137861 25.913084),0,13,ID00007798,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913082,-80.137857,0.77,POINT (-80.137857 25.913082),0,14,ID00007799,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.91308,-80.137854,0.89,POINT (-80.137854 25.91308),0,15,ID00007800,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913077,-80.137853,0.76,POINT (-80.137853 25.913077),0,16,ID00007801,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913072,-80.137849,1.22,POINT (-80.137849 25.913072),0,17,ID00007802,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913067,-80.137847,1.36,POINT (-80.137847 25.913067),0,18,ID00007803,25.913107,-80.137871,499.5,51.5, , ,-80.1378707886,25.9131069183,0.138500005,0.0475694835,0.1062999964,0.0478095114,0.0855000019,0.0579035841,0.0436999984,0.026056217,0.0654999986,0.0547422729,0.1406999975,0.1384554356,0.1562000066,0.1524401605,0.0980999991,0.0981686711,0.1835999936,0.1803605407,0.1053000018,0.0016,0.065200001,0.0668105856,0.0322999991,0.0348898731,,,,,,,,
25.913061,-80.137843,1.5,POINT (-80.137843 25.913061),0,19,ID00007804,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
25.913054,-80.13784,1.12,POINT (-80.13784 25.913054),0,20,ID00007805,25.913017,-80.137871,499.5,52.5, , ,-80.1378707886,25.9130172729,0.138500005,0.0340992324,0.1120999977,0.0385592356,0.0944999978,0.0497535095,0.0509000011,0.0128997751,0.0531000011,0.0192772169,0.0665000007,0.0356955007,0.0917999968,0.0624505207,0.0502999984,0.0230247043,0.0812000036,0.0525058433,0.1053000018,0.0016,0.0471000001,0.0249652229,0.0214000009,0.0022099167,1,0.0385592356,0.0497535095,0.0128997751,0.0230247043,1.0531351566,0.0192772169,0.1981988251
