lat,lon,Total Water Column (ft),geometry,ProdID,CoordID,Name,Latitude,Longitude,PixelX,PixelY,Date(yyyy-MM-dd),Time(HH_mm_ss),lon,lat,sza,vza,raa,rhot_443,rhos_443,rhot_492,rhos_492,rhot_560,rhos_560,rhot_665,rhos_665,rhot_704,rhos_704,rhot_740,rhos_740,rhot_783,rhos_783,rhot_833,rhos_833,rhot_865,rhos_865,rhot_945,rhot_1373,rhot_1614,rhos_1614,rhot_2202,rhos_2202
25.9079061503,-80.1335089559,9,POINT (-80.13350895592254 25.90790615029765),0,11,ID00000010,25.907934,-80.133522,543.5,108.5, , ,-80.1335220337,25.9079341888,34.9811134338,2.6926784515,19.3111572266,0.1199999973,0.0224566478,0.0922000036,0.0276395809,0.0683000013,0.0321881697,0.0320000015,0.007750751,0.0259000007,0.0052281008,0.0240000002,0.0057563586,0.0261000004,0.0098959664,0.0211999994,0.0078387279,0.0218000002,0.0084207254,0.0057000001,6.99999975040555E-4,0.0083999997,0.0025229198,0.0037,1.638659741729498E-4
25.9090046468,-80.1348278943,10,POINT (-80.13482789429816 25.909004646818488),0,12,ID00000011,25.909025,-80.134811,530.5,96.5, , ,-80.1348114014,25.9090251923,34.9826049805,2.7025084496,19.4416656494,0.1228,0.025737077,0.0923999995,0.0274222903,0.0676999986,0.0309259091,0.0320999995,0.0072661918,0.0252999999,0.0039509502,0.0247000009,0.0059036352,0.0228000004,0.0057643419,0.0193000007,0.0051046703,0.0199999996,0.0059104804,0.0082,5.000000237487257E-4,0.0089999996,0.0024985045,0.0043000001,2.241525799036026E-4
25.9104107074,-80.1341928499,8,POINT (-80.1341928498949 25.910410707436696),0,13,ID00000012,25.910378,-80.134201,536.5,81.5, , ,-80.1342010498,25.9103775024,34.9838409424,2.7011070251,19.4296875,0.125,0.0272201356,0.0952999964,0.0293136295,0.0713,0.0333800204,0.0318000019,0.0048569525,0.0289999992,0.0059564104,0.0270000007,0.0062786504,0.0269000009,0.0079492815,0.0240000002,0.008106092,0.0258000009,0.0097336108,0.0073000002,6.99999975040555E-4,0.0105999997,0.0019593067,0.0063,4.211748018860817E-4
25.9105864638,-80.1347790447,16,POINT (-80.13477904472845 25.910586463835216),0,14,ID00000013,25.910561,-80.134796,530.5,79.5, , ,-80.1347961426,25.9105606079,34.9840927124,2.7051436901,19.4816131592,0.1263999939,0.0267325602,0.1036999971,0.0367837399,0.0848999992,0.0465697609,0.0599999987,0.0328213423,0.0326999985,0.0065109339,0.0403999984,0.0173191093,0.0366999991,0.0146884499,0.0434000008,0.0258121677,0.0384000018,0.0190944374,0.0066,6.99999975040555E-4,0.0167999994,0.0047349548,0.0097000003,7.577594369649887E-4
25.9120803826,-80.1328739115,14,POINT (-80.13287391151927 25.912080382649577),0,15,ID00000014,25.912085,-80.132889,549.5,62.5, , ,-80.1328887939,25.9120845795,34.9848251343,2.6956691742,19.3657684326,0.126000002,0.028487185,0.0982000008,0.0328177698,0.0772999972,0.0405803658,0.0340000018,0.0072907563,0.0292000007,0.0061549186,0.0298999995,0.0094293626,0.0339000002,0.0153561346,0.0258000009,0.0100730797,0.0294000003,0.0134526901,0.0076000001,6.99999975040555E-4,0.0110999998,0.0024775816,0.0063,4.1981693357229233E-4
25.9127833967,-80.1343393986,9,POINT (-80.13433939860343 25.912783396720357),0,16,ID00000015,25.912815,-80.134384,534.5,54.5, , ,-80.1343841553,25.912815094,34.985824585,2.7046205997,19.4829711914,0.1238999963,0.0244156979,0.0983999968,0.031461738,0.0776000023,0.0390944332,0.0344000012,0.0057020956,0.0324000008,0.0076390388,0.0324000008,0.0100563634,0.0317000002,0.0108867548,0.0252,0.0072527048,0.0340000018,0.0160557032,0.0130000003,6.99999975040555E-4,0.0147000002,0.0040687714,0.0082999999,6.188000552356243E-4
25.9036454406,-80.1341076718,9,POINT (-80.13410767182567 25.90364544057296),0,17,ID00000016,25.903605,-80.134148,537.5,156.5, , ,-80.134147644,25.9036045074,34.9773979187,2.6896879673,19.2565155029,0.1218999997,0.0242118519,0.0900999978,0.0241981223,0.0702000037,0.0334660783,0.0326000005,0.0073036663,0.0271000005,0.0054237633,0.0264999997,0.0073354342,0.0271000005,0.0097847451,0.0219999999,0.0075369682,0.0219999999,0.007435468,0.0048000002,5.000000237487257E-4,0.0082,0.0010936509,0.0048000002,2.7329055592417717E-4
25.9041684207,-80.1317478963,12,POINT (-80.13174789630781 25.904168420721618),0,18,ID00000017,25.904133,-80.131752,561.5,150.5, , ,-80.1317520142,25.904132843,34.976890564,2.6744201183,19.0621185303,0.1208000034,0.0230515338,0.0898000002,0.0241827331,0.0680000037,0.0312352329,0.0307999998,0.0057627931,0.0255999994,0.004236551,0.0243999995,0.0055293739,0.0239000004,0.006888899,0.0192000009,0.0049525374,0.0185000002,0.0043117041,0.0054000001,6.99999975040555E-4,0.0074,7.860546465963125E-4,0.0043000001,2.2184406407177448E-4
25.9057681103,-80.1323634899,8,POINT (-80.1323634899214 25.905768110314128),0,19,ID00000018,25.90576,-80.132339,555.5,132.5, , ,-80.1323394775,25.9057598114,34.9786262512,2.6810917854,19.154006958,0.1216000021,0.0219876766,0.0860000029,0.0170174409,0.0676999986,0.0279799309,0.0351999998,0.0074951462,0.0326000005,0.0087801181,0.0271000005,0.0051903902,0.0335000008,0.0137428911,0.0212999992,0.0039025308,0.0241,0.0067400732,0.0070000002,6.000000284984708E-4,0.0157999992,0.0062220097,0.0074,5.28222881257534E-4
25.9144429722,-80.1340050729,9,POINT (-80.13400507289042 25.914442972197406),0,20,ID00000019,25.914438,-80.133972,538.5,36.5, , ,-80.133972168,25.9144382477,34.9873123169,2.7072558403,19.5229187012,0.1268000007,0.0233241133,0.0973000005,0.0243186541,0.0778999999,0.0327988639,0.0364999995,7.232530042529106E-4,0.0337999985,0.0017292015,0.052099999,0.0240092147,0.0592,0.0323624164,0.0412000008,0.0171645656,0.0546999983,0.0297363009,0.0228000004,6.99999975040555E-4,0.0328000002,0.0152931977,0.0153999999,0.0013193702
