x,y,band,spatial_ref,transverse_mercator,lon,lat,st10,st11,water_mask,cloud_mask,STempD
586195.0,2866185.0,1,0,0,-80.13948,25.911673,305.53168,306.94656,False,False,28.030584629229747
586195.0,2866175.0,1,0,0,-80.13948,25.911673,305.53168,306.94656,False,False,28.030584629229747
586195.0,2866165.0,1,0,0,-80.13948,25.911402,305.57028,307.16257,False,False,28.08873132911394
586195.0,2866155.0,1,0,0,-80.13948,25.911402,305.57028,307.16257,False,False,28.08873132911394
586195.0,2866145.0,1,0,0,-80.13948,25.911402,305.57028,307.16257,False,False,28.08873132911394
586195.0,2866135.0,1,0,0,-80.13949,25.91113,305.79398,307.4551,False,False,28.128659138348876
586195.0,2866125.0,1,0,0,-80.13949,25.91113,305.79398,307.4551,False,False,28.128659138348876
586195.0,2866115.0,1,0,0,-80.13949,25.91113,305.79398,307.4551,False,False,28.128659138348876
586195.0,2866105.0,1,0,0,-80.13949,25.91086,306.3407,307.85724,False,False,28.129361151876076
586195.0,2866095.0,1,0,0,-80.13949,25.91086,306.3407,307.85724,False,False,28.129361151876076
586195.0,2866085.0,1,0,0,-80.13949,25.91086,306.3407,307.85724,False,False,28.129361151876076
586195.0,2866075.0,1,0,0,-80.13949,25.91059,306.91714,308.16748,False,False,28.09487570097605
586195.0,2866065.0,1,0,0,-80.13949,25.91059,306.91714,308.16748,False,False,28.09487570097605
586195.0,2866055.0,1,0,0,-80.13949,25.91059,306.91714,308.16748,False,False,28.09487570097605
586195.0,2866045.0,1,0,0,-80.13949,25.910318,307.42377,308.23843,False,False,28.00210372362301
586195.0,2866035.0,1,0,0,-80.13949,25.910318,307.42377,308.23843,False,False,28.00210372362301
586195.0,2866025.0,1,0,0,-80.13949,25.910318,307.42377,308.23843,False,False,28.00210372362301
586195.0,2866015.0,1,0,0,-80.139496,25.910048,307.13483,308.04654,False,False,28.00812109410951
586195.0,2866005.0,1,0,0,-80.139496,25.910048,307.13483,308.04654,False,False,28.00812109410951
586195.0,2865995.0,1,0,0,-80.139496,25.910048,307.13483,308.04654,False,False,28.00812109410951
586195.0,2865985.0,1,0,0,-80.139496,25.909777,306.4424,307.4995,False,False,27.99554573008901
586195.0,2865975.0,1,0,0,-80.139496,25.909777,306.4424,307.4995,False,False,27.99554573008901
586195.0,2865965.0,1,0,0,-80.139496,25.909777,306.4424,307.4995,False,False,27.99554573008901
586195.0,2865955.0,1,0,0,-80.139496,25.909506,305.74615,306.8686,False,False,27.95786199499582
586195.0,2865945.0,1,0,0,-80.139496,25.909506,305.74615,306.8686,False,False,27.95786199499582
586195.0,2865935.0,1,0,0,-80.139496,25.909506,305.74615,306.8686,False,False,27.95786199499582
586195.0,2865925.0,1,0,0,-80.139496,25.909235,305.0853,306.3415,False,False,27.944310877994514
586195.0,2865915.0,1,0,0,-80.139496,25.909235,305.0853,306.3415,False,False,27.944310877994514
586195.0,2865905.0,1,0,0,-80.139496,25.909235,305.0853,306.3415,False,False,27.944310877994514
586195.0,2865895.0,1,0,0,-80.1395,25.908964,304.50287,305.9339,False,False,27.95000414445074
586195.0,2865885.0,1,0,0,-80.1395,25.908964,304.50287,305.9339,False,False,27.95000414445074
586195.0,2865875.0,1,0,0,-80.1395,25.908964,304.50287,305.9339,False,False,27.95000414445074
586195.0,2865865.0,1,0,0,-80.1395,25.908693,304.00327,305.53485,False,False,27.939584670112833
586195.0,2865855.0,1,0,0,-80.1395,25.908693,304.00327,305.53485,False,False,27.939584670112833
586195.0,2865845.0,1,0,0,-80.1395,25.908693,304.00327,305.53485,False,False,27.939584670112833
586195.0,2865835.0,1,0,0,-80.1395,25.908422,303.81848,305.24692,False,False,27.892271220202517
586195.0,2865825.0,1,0,0,-80.1395,25.908422,303.81848,305.24692,False,False,27.892271220202517
586195.0,2865815.0,1,0,0,-80.1395,25.908422,303.81848,305.24692,False,False,27.892271220202517
586195.0,2865805.0,1,0,0,-80.1395,25.908152,303.9466,305.13898,False,False,27.829828894518684
586195.0,2865795.0,1,0,0,-80.1395,25.908152,303.9466,305.13898,False,False,27.829828894518684
586195.0,2865785.0,1,0,0,-80.1395,25.908152,303.9466,305.13898,False,False,27.829828894518684
586195.0,2865775.0,1,0,0,-80.13951,25.90788,304.22574,305.33328,False,False,27.82677682522085
586195.0,2865765.0,1,0,0,-80.13951,25.90788,304.22574,305.33328,False,False,27.82677682522085
586195.0,2865755.0,1,0,0,-80.13951,25.90788,304.22574,305.33328,False,False,27.82677682522085
586195.0,2865745.0,1,0,0,-80.13951,25.90761,304.4518,305.712,False,False,27.892853559426452
586195.0,2865735.0,1,0,0,-80.13951,25.90761,304.4518,305.712,False,False,27.892853559426452
586195.0,2865725.0,1,0,0,-80.13951,25.90761,304.4518,305.712,False,False,27.892853559426452
586195.0,2865715.0,1,0,0,-80.13951,25.90734,304.5334,306.0364,False,False,27.974836295609364
586195.0,2865705.0,1,0,0,-80.13951,25.90734,304.5334,306.0364,False,False,27.974836295609364
586195.0,2865695.0,1,0,0,-80.13951,25.90734,304.5334,306.0364,False,False,27.974836295609364
586195.0,2865685.0,1,0,0,-80.13951,25.907068,304.54935,306.10846,False,False,27.993533874957993
586195.0,2865675.0,1,0,0,-80.13951,25.907068,304.54935,306.10846,False,False,27.993533874957993
586195.0,2865665.0,1,0,0,-80.13951,25.907068,304.54935,306.10846,False,False,27.993533874957993
586195.0,2865655.0,1,0,0,-80.13952,25.906797,304.42773,305.74393,False,False,27.908192203160382
586195.0,2865645.0,1,0,0,-80.13952,25.906797,304.42773,305.74393,False,False,27.908192203160382
586195.0,2865635.0,1,0,0,-80.13952,25.906797,304.42773,305.74393,False,False,27.908192203160382
586195.0,2865625.0,1,0,0,-80.13952,25.906527,304.16806,305.34454,False,False,27.84332750781195
586195.0,2865615.0,1,0,0,-80.13952,25.906527,304.16806,305.34454,False,False,27.84332750781195
586195.0,2865605.0,1,0,0,-80.13952,25.906527,304.16806,305.34454,False,False,27.84332750781195
586195.0,2865595.0,1,0,0,-80.13952,25.906256,303.78592,304.98795,False,False,27.819449742070056
586195.0,2865585.0,1,0,0,-80.13952,25.906256,303.78592,304.98795,False,False,27.819449742070056
586195.0,2865575.0,1,0,0,-80.13952,25.906256,303.78592,304.98795,False,False,27.819449742070056
586195.0,2865565.0,1,0,0,-80.13953,25.905985,303.35632,304.6109,False,False,27.79998816559595
586195.0,2865555.0,1,0,0,-80.13953,25.905985,303.35632,304.6109,False,False,27.79998816559595
586195.0,2865545.0,1,0,0,-80.13953,25.905985,303.35632,304.6109,False,False,27.79998816559595
586195.0,2865535.0,1,0,0,-80.13953,25.905714,303.0115,304.23785,False,False,27.762563371402045
586195.0,2865525.0,1,0,0,-80.13953,25.905714,303.0115,304.23785,False,False,27.762563371402045
586195.0,2865515.0,1,0,0,-80.13953,25.905714,303.0115,304.23785,False,False,27.762563371402045
586195.0,2865505.0,1,0,0,-80.13953,25.905443,302.82196,303.98676,False,False,27.727734861299233
586195.0,2865495.0,1,0,0,-80.13953,25.905443,302.82196,303.98676,False,False,27.727734861299233
586195.0,2865485.0,1,0,0,-80.13953,25.905443,302.82196,303.98676,False,False,27.727734861299233
586195.0,2865475.0,1,0,0,-80.13953,25.905172,302.795,304.00577,False,False,27.73972568496404
586195.0,2865465.0,1,0,0,-80.13953,25.905172,302.795,304.00577,False,False,27.73972568496404
586195.0,2865455.0,1,0,0,-80.13953,25.905172,302.795,304.00577,False,False,27.73972568496404
586195.0,2865445.0,1,0,0,-80.139534,25.904902,302.7814,304.19177,False,False,27.800408839901888
586195.0,2865435.0,1,0,0,-80.139534,25.904902,302.7814,304.19177,False,False,27.800408839901888
586195.0,2865425.0,1,0,0,-80.139534,25.904902,302.7814,304.19177,False,False,27.800408839901888
586195.0,2865415.0,1,0,0,-80.139534,25.90463,302.63477,304.3726,False,False,27.889614340731832
586195.0,2865405.0,1,0,0,-80.139534,25.90463,302.63477,304.3726,False,False,27.889614340731832
586195.0,2865395.0,1,0,0,-80.139534,25.90463,302.63477,304.3726,False,False,27.889614340731832
586195.0,2865385.0,1,0,0,-80.139534,25.90436,302.5179,304.34253,False,False,27.906771274403717
586195.0,2865375.0,1,0,0,-80.139534,25.90436,302.5179,304.34253,False,False,27.906771274403717
586195.0,2865365.0,1,0,0,-80.139534,25.90436,302.5179,304.34253,False,False,27.906771274403717
586195.0,2865355.0,1,0,0,-80.139534,25.904089,302.46432,304.12604,False,False,27.851867104599734
586195.0,2865345.0,1,0,0,-80.139534,25.904089,302.46432,304.12604,False,False,27.851867104599734
586195.0,2865335.0,1,0,0,-80.139534,25.904089,302.46432,304.12604,False,False,27.851867104599734
586195.0,2865325.0,1,0,0,-80.13954,25.903816,302.3273,303.7715,False,False,27.773115681860833
